source_text,target_text
"[('Grande', 1), ('Terre', 1), (""'s"", 1), ('west', 1), ('coast', 1), ('is', 1), ('a', 1), ('major', 1), ('tourist', 1), ('destination', 1), ('for', 1), ('its', 1), ('mangrove', 1), ('swamps', 1), ('.', 1)]",Grande Terre's west coast is a major tourist destination for its mangrove swamps.
"[('People', 1), ('make', 1), ('two', 1), ('justified', 1), ('complaints', 1), ('about', 1), ('our', 1), ('Slate', 1), ('60', 1), ('ranking', 1), ('of', 1), ('America', 1), (""'s"", 1), ('largest', 1), ('contributors', 1), ('to', 1), ('charity', 1), ('.', 1)]",People make two justified complaints about our Slate 60 ranking of America's largest contributors to charity.
"[('THEY', 1), ('ARE', 1), ('READY', 1), (',', 1), ('returned', 1), ('Susan', 1), (""'s"", 1), ('voice', 1), ('in', 1), ('the', 1), ('back', 1), ('of', 1), ('his', 1), ('mind', 1), ('.', 1)]","THEY ARE READY, returned Susan's voice in the back of his mind."
"[('They', 1), ('greatly', 1), ('outnumber', 1), ('the', 2), ('6,500', 1), ('-', 1), ('odd', 1), ('human', 1), ('inhabitants', 1), ('mostly', 1), ('white', 1), (',', 1), ('many', 1), ('descendants', 1), ('of', 1), ('Huguenots', 1), ('from', 1), ('Brittany', 1), ('and', 1), ('Normandy', 1), ('.', 1)]","They greatly outnumber the 6,500-odd human inhabitants mostly white, many the descendants of Huguenots from Brittany and Normandy."
"[('Kings', 1), ('frequently', 1), ('founded', 1), ('orders', 1), ('that', 1), ('can', 1), ('still', 1), ('be', 1), ('found', 1), ('today', 1), ('.', 1)]",Kings frequently founded orders that can still be found today.
"[('A', 1), ('Lake', 1), ('in', 1), ('Loire', 1), ('.', 1)]",A Lake in Loire.
"[('The', 1), ('family', 1), ('.', 1)]",The family.
"[('well', 1), ('the', 1), ('channel', 2), ('eight', 2), ('when', 1), ('they', 2), ('came', 2), ('here', 1), ('thirteen', 1), ('fourteen', 1), ('years', 1), ('ago', 1), ('Dave', 1), ('Fox', 1), ('and', 5), ('Tracy', 1), ('Rowlett', 1), ('together', 1), ('uh', 1), ('from', 1), ('Oklahoma', 1), ('City', 1), ('apparently', 1), ('was', 1), ('way', 1), ('down', 1), ('now', 1), ('have', 1), ('turned', 1), ('it', 1), ('all', 1), ('around', 1), ('done', 1), ('a', 1), ('pretty', 1), ('remarkable', 1), ('job', 1), ('then', 1)]",well the channel eight when they came here thirteen fourteen years ago Dave Fox and Tracy Rowlett came together uh from Oklahoma City and apparently channel eight was way down and now they have turned it all around and done a pretty remarkable job and then
"[('In', 1), ('other', 1), ('cases', 1), (',', 3), ('we', 1), ('must', 1), ('rely', 1), ('on', 1), ('survey', 1), ('approaches', 1), ('to', 1), ('estimate', 1), ('WTP', 2), ('usually', 1), ('through', 1), ('a', 1), ('variant', 1), ('of', 1), ('the', 1), ('contingent', 1), ('valuation', 1), ('approach', 1), ('which', 1), ('generally', 1), ('involves', 1), ('directly', 1), ('questioning', 1), ('respondents', 1), ('for', 1), ('their', 1), ('in', 1), ('hypothetical', 1), ('market', 1), ('situations', 1), ('.', 1)]","In other cases, we must rely on survey approaches to estimate WTP, usually through a variant of the contingent valuation approach, which generally involves directly questioning respondents for their WTP in hypothetical market situations."
"[('The', 1), ('prime', 1), ('minister', 1), (""'s"", 1), ('office', 1), ('has', 1), ('wi', 1), ('-', 1), ('fi', 1), ('.', 1)]",The prime minister's office has wi-fi.
"[('well', 1), ('yeah', 1), ('that', 1), ('really', 1), ('is', 1), ('scary', 1)]",well yeah that really is scary
"[('What', 1), (""'s"", 1), ('truly', 1), ('striking', 1), (',', 2), ('though', 1), ('is', 1), ('that', 1), ('Jobs', 1), ('has', 1), ('never', 1), ('really', 1), ('let', 1), ('this', 1), ('idea', 1), ('go', 1), ('.', 1)]","What's truly striking, though, is that Jobs has never really let this idea go."
"[('It', 1), (""'s"", 1), ('all', 1), ('the', 1), ('same', 1), ('whether', 1), ('you', 1), ('smoke', 1), ('marijuana', 1), ('or', 1), ('inject', 1), ('it', 1), ('.', 1)]",It's all the same whether you smoke marijuana or inject it.
"[('Audits', 1), ('and', 1), ('evaluations', 1), ('are', 1), ('harder', 1), ('because', 1), ('it', 1), ('is', 1), ('more', 1), ('difficult', 1), ('for', 1), ('GAO', 1), ('to', 1), ('get', 1), ('the', 1), ('records', 1), ('.', 1)]",Audits and evaluations are harder because it is more difficult for GAO to get the records.
"[('Overlapping', 1), ('the', 1), ('other', 1), ('photos', 1), ('?', 1)]",Overlapping the other photos?
"[('But', 1), ('they', 2), ('persevered', 1), (',', 3), ('she', 1), ('said', 1), ('firm', 1), ('and', 1), ('optimistic', 1), ('in', 1), ('their', 2), ('search', 1), ('until', 1), ('were', 1), ('finally', 1), ('allowed', 1), ('by', 1), ('a', 1), ('packed', 1), ('restaurant', 1), ('to', 1), ('eat', 1), ('dinner', 1), ('off', 1), ('the', 1), ('floor', 1), ('.', 1)]","But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor."
"[('and', 1), ('uh', 1), ('as', 1), ('a', 2), ('matter', 1), ('of', 1), ('fact', 1), ('he', 1), (""'s"", 1), ('draft', 1), ('dodger', 1)]",and uh as a matter of fact he's a draft dodger
"[('The', 1), ('widely', 1), ('sought', 1), ('after', 2), ('volumes', 1), ('will', 1), ('be', 1), ('available', 1), ('to', 1), ('the', 1), ('public', 1), ('renovation', 1), ('.', 1)]",The widely sought after volumes will be available to the public after renovation.
"[('He', 1), ('was', 1), ('crying', 1), ('like', 1), ('his', 1), ('mother', 1), ('hit', 1), ('him', 1), ('with', 1), ('a', 1), ('spoon', 1), ('.', 1)]",He was crying like his mother hit him with a spoon.
"[('No', 1), (',', 1), ('we', 1), ('do', 1), (""n't"", 1), ('have', 1), ('cable', 1), ('here', 1), ('.', 1)]","No, we don't have cable here."
"[('The', 1), ('Twilight', 1), ('Dance', 1), ('Series', 1), ('also', 1), ('hosts', 1), ('events', 1), ('directly', 1), ('on', 1), ('the', 2), ('beach', 1), ('near', 1), ('pier', 1), ('.', 1)]",The Twilight Dance Series also hosts events directly on the beach near the pier.
"[('exercise', 1), ('is', 1), ('not', 1), ('supposed', 1), ('to', 2), ('do', 1), ('that', 1), ('you', 1)]",exercise is not supposed to do that to you
"[('life', 1), ('track', 1)]",life track
"[('If', 1), ('she', 1), ('did', 1), (""n't"", 1), ('like', 1), ('her', 1), ('restaurant', 1), ('so', 1), ('much', 1), (',', 1), ('the', 1), (""woman'd"", 1), ('be', 1), ('high', 1), ('-', 1), ('up', 1), ('in', 1), ('Applied', 1), ('by', 1), ('now', 1), ('.', 1)]","If she didn't like her restaurant so much, the woman'd be high-up in Applied by now."
"[('The', 1), ('more', 2), ('people', 1), ('who', 1), ('know', 1), (',', 1), ('the', 2), ('secure', 1), ('secret', 1), ('.', 1)]","The more people who know, the more secure the secret."
"[('He', 1), ('unleashed', 1), ('a', 1), ('16', 1), ('-', 1), ('day', 1), ('reign', 1), ('of', 2), ('terror', 1), ('that', 1), ('left', 1), ('300', 1), ('Madeirans', 1), ('dead', 1), (',', 2), ('stocks', 1), ('sugar', 1), ('destroyed', 1), ('and', 1), ('the', 1), ('island', 1), ('plundered', 1), ('.', 1)]","He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered."
"[('Heather', 1), (""'s"", 1), ('was', 1), ('cheerful', 1), ('and', 1), ('unlike', 1), ('a', 1), ('Molly', 1), ('Ringwald', 1), ('movie', 1)]",Heather's was cheerful and unlike a Molly Ringwald movie
"[('they', 1), ('do', 3), (""n't"", 3), ('i', 2), ('work', 1), ('at', 1), ('TI', 1)]",they don't i don't i don't work at TI
"[('In', 1), ('a', 1), ('further', 1), ('role', 1), ('reversal', 1), (',', 1), ('Gingrich', 1), ('may', 1), ('have', 1), ('positioned', 1), ('himself', 1), ('to', 1), ('fill', 1), ('it', 1), ('.', 1)]","In a further role reversal, Gingrich may have positioned himself to fill it."
"[('But', 1), (',', 2), ('Slate', 1), ('protests', 1), ('it', 1), ('was', 1), ('[', 1), ('Gates', 1), (""'"", 1), (']', 1), ('byline', 1), ('that', 1), ('appeared', 1), ('on', 1), ('the', 1), ('cover', 1), ('.', 1)]","But, Slate protests, it was [Gates'] byline that appeared on the cover."
"[('She', 1), ('lived', 1), ('in', 1), ('poverty', 1), ('and', 1), ('squalor', 1), ('at', 1), ('Styles', 1), ('Court', 1), ('.', 1)]",She lived in poverty and squalor at Styles Court.
"[('it', 2), (""'s"", 1), ('like', 1), ('but', 1), ('the', 1), ('time', 1), ('we', 1), ('went', 1), ('to', 2), ('Florida', 1), ('and', 1), ('needed', 1), ('rent', 1), ('a', 1), ('car', 1), ('you', 1), ('know', 1), ('he', 1), ('believed', 1), ('in', 1)]",it's like but the time we went to Florida and needed to rent a car you know he believed in it
"[('He', 1), ('did', 1), ('not', 1), ('immediately', 1), ('recognize', 1), ('Tuppence', 1), ('.', 1)]",He did not immediately recognize Tuppence.
"[('Drinks', 1), ('are', 1), ('available', 1), ('and', 1), ('expensive', 1), ('.', 1)]",Drinks are available and expensive.
"[('They', 1), ('are', 1), ('way', 1), ('too', 1), ('free', 1), ('in', 1), ('what', 1), ('they', 2), ('can', 1), ('do', 1), (',', 1), ('and', 1), ('I', 1), ('think', 1), ('need', 1), ('to', 1), ('be', 1), ('strongly', 1), ('limited', 1), ('.', 1)]","They are way too free in what they can do, and I think they need to be strongly limited."
"[('senior', 1), ('management', 1), ('oversight', 1), ('and', 2), ('approval', 1), ('ofRequired', 1), ('acquisition', 1), ('objectives', 1), ('plans', 1), ('.', 1)]",senior management oversight and approval ofRequired acquisition objectives and plans.
"[('They', 1), ('managed', 1), ('to', 1), ('control', 1), ('much', 1), ('of', 1), ('the', 2), ('country', 1), ('for', 1), ('nearly', 1), ('a', 1), ('century', 1), ('before', 1), ('Muslim', 1), ('leader', 1), ('Saladin', 1), ('(', 1), ('Salah', 1), ('-', 2), ('ad', 1), ('Din', 1), (')', 1), ('defeated', 1), ('them', 1), ('in', 1), ('1187', 1), ('.', 1)]",They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187.
"[('The', 1), ('Kal', 1), ('tangled', 1), ('both', 1), ('of', 1), ('Adrin', 1), (""'s"", 1), ('arms', 1), (',', 1), ('keeping', 1), ('the', 1), ('blades', 1), ('far', 1), ('away', 1), ('.', 1)]","The Kal tangled both of Adrin's arms, keeping the blades far away."
"[('Galileo', 1), (""'s"", 1), ('Trial', 1), ('was', 1), ('cancelled', 1), ('.', 1)]",Galileo's Trial was cancelled.
"[('His', 1), ('charges', 1), ('went', 2), ('up', 2), ('because', 1), ('his', 1), ('rent', 1)]",His charges went up because his rent went up
"[('This', 1), ('is', 1), ('Susan', 1), ('.', 1)]",This is Susan.
"[('As', 1), ('the', 3), ('road', 1), ('climbs', 1), ('toward', 1), ('entrance', 1), (',', 1), ('you', 1), (""'ll"", 1), ('pass', 1), ('fields', 1), ('full', 1), ('of', 1), ('Santorini', 1), (""'s"", 1), ('famed', 1), ('tomatoes', 1), ('growing', 1), ('on', 1), ('steep', 1), ('slopes', 1), ('.', 1)]","As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes."
"[('Vrenna', 1), ('looked', 1), ('it', 1), ('and', 1), ('smiled', 1), ('.', 1)]",Vrenna looked it and smiled.
"[('Concentration', 1), ('of', 2), ('greenhouse', 1), ('gases', 1), (',', 2), ('especially', 1), ('CO2', 1), ('have', 1), ('increased', 1), ('substantially', 1), ('since', 1), ('the', 2), ('beginning', 1), ('industrial', 1), ('revolution', 1), ('.', 1)]","Concentration of greenhouse gases, especially CO2, have increased substantially since the beginning of the industrial revolution."
"[('Treasure', 1), ('Beach', 1), ('is', 1), ('on', 1), ('the', 1), ('South', 1), ('Coast', 1), ('.', 1)]",Treasure Beach is on the South Coast.
"[('I', 1), ('believe', 1), ('that', 2), ('many', 1), ('children', 1), ('think', 1), ('it', 1), (""'s"", 2), ('amusing', 1), (',', 1), ('the', 2), ('similar', 1), ('uneasiness', 1), ('there', 1), ('someone', 1), ('beneath', 1), ('bed', 1), ('or', 1), ('hiding', 1), ('in', 1), ('their', 1), ('closet', 1), ('.', 1)]","I believe that many children think it's amusing, the similar uneasiness that there's someone beneath the bed or hiding in their closet."
"[('Your', 1), ('foundation', 1), ('is', 1), ('being', 1), ('beamed', 1), ('away', 1), ('.', 1)]",Your foundation is being beamed away.
"[('Clinton', 1), (""'s"", 1), ('approval', 1), ('is', 1), ('the', 5), ('result', 1), ('of', 1), ('country', 1), ('liking', 1), ('effect', 1), ('that', 1), ('administration', 1), ('has', 1), ('had', 1), ('on', 1), ('economy', 1), ('.', 1)]",Clinton's approval is the result of the country liking the effect that the administration has had on the economy.
"[('The', 1), ('tomb', 1), ('garden', 1), ('can', 1), ('give', 1), ('you', 1), ('a', 1), ('thorough', 1), ('tour', 1), ('of', 1), ('the', 1), ('catacombs', 1), ('.', 1)]",The tomb garden can give you a thorough tour of the catacombs.
"[('According', 1), ('to', 1), ('her', 1), (',', 1), ('they', 1), ('lose', 1), ('their', 1), ('minds', 1), ('.', 1)]","According to her, they lose their minds."
"[('There', 1), ('is', 1), ('.', 1)]",There is.
"[('No', 1), ('one', 1), ('can', 1), ('recommend', 1), ('an', 1), ('individual', 1), ('to', 1), ('the', 1), ('President', 1), ('for', 1), ('appointment', 1), ('.', 1)]",No one can recommend an individual to the President for appointment.
"[('The', 1), ('Aegean', 1), ('has', 1), ('a', 1), ('short', 1), (',', 4), ('wet', 1), ('spring', 1), ('when', 1), ('walking', 1), ('hiking', 1), ('and', 1), ('mountain', 1), ('biking', 1), ('are', 1), ('extremely', 1), ('enjoyable', 1), ('activities', 1), ('because', 1), ('the', 1), ('weather', 1), ('is', 1), ('pleasant', 1), ('but', 1), ('not', 1), ('too', 1), ('hot', 1), ('.', 1)]","The Aegean has a short, wet spring when walking, hiking, and mountain biking are extremely enjoyable activities, because the weather is pleasant but not too hot."
"[('We', 1), ('once', 1), ('went', 1), ('to', 2), ('Florida', 1), ('and', 1), ('needed', 1), ('rent', 1), ('a', 1), ('car', 1), ('.', 1)]",We once went to Florida and needed to rent a car.
"[('Susan', 1), ('is', 2), ('who', 1), ('this', 1), ('.', 1)]",Susan is who this is.
"[('I', 1), ('should', 1), ('not', 1), ('keep', 1), ('you', 1), ('.', 1)]",I should not keep you.
"[('Mr.', 1), ('Inglethorp', 1), (',', 2), ('as', 1), ('per', 1), ('your', 2), ('request', 1), ('wife', 1), (""'s"", 1), ('dying', 1), ('words', 1), ('have', 1), ('been', 1), ('read', 1), ('.', 1)]","Mr. Inglethorp, as per your request, your wife's dying words have been read."
"[('Maybe', 1), ('I', 1), ('am', 1), ('too', 1), ('.', 1)]",Maybe I am too.
"[('Yeah', 1), ('but', 1), ('education', 1), ('does', 1), (""n't"", 1), ('matter', 1), ('.', 1)]",Yeah but education doesn't matter.
"[('the', 2), ('park', 1), ('on', 1), ('hill', 1), ('in', 1), ('Monte', 1), ('has', 1), ('a', 1), ('good', 1), ('playground', 1), (',', 1), ('but', 1), ('may', 1), ('not', 1), ('be', 1), ('as', 1), ('exciting', 1), ('for', 1), ('older', 1), ('kids', 1), ('.', 1)]","the park on the hill in Monte has a good playground, but may not be as exciting for older kids."
"[('It', 1), ('was', 1), ('always', 1), ('a', 1), ('part', 1), ('of', 1), ('me', 1), ('.', 1)]",It was always a part of me.
"[('No', 1), ('control', 1), ('activities', 1), ('occur', 1), ('anywhere', 1), ('within', 1), ('the', 1), ('entity', 1)]",No control activities occur anywhere within the entity
"[('well', 1), ('Dana', 1), ('it', 1), (""'s"", 1), ('been', 1), ('really', 1), ('interesting', 1), ('and', 1), ('i', 1), ('appreciate', 1), ('talking', 1), ('with', 1), ('you', 1)]",well Dana it's been really interesting and i appreciate talking with you
"[('He', 1), ('is', 1), ('so', 2), ('hardworking', 1), ('and', 1), ('has', 1), ('helped', 1), ('the', 1), ('team', 1), ('achieve', 1), ('much', 1), (',', 1), ('I', 1), ('do', 1), (""n't"", 1), ('see', 1), ('anything', 1), ('wrong', 1), ('with', 1), ('paying', 1), ('him', 1), ('a', 1), ('million', 1), ('dollar', 1), ('salary', 1), ('.', 1)]","He is so hardworking and has helped the team achieve so much, I don't see anything wrong with paying him a million dollar salary."
"[('Paper', 1), ('goods', 1), ('.', 1)]",Paper goods.
"[('There', 1), ('is', 1), ('need', 1), ('to', 2), ('attorney', 1), (""'s"", 1), ('practice', 1), ('law', 1), ('.', 1)]",There is need to attorney's to practice law.
"[('The', 1), ('iron', 1), ('gate', 1), ('was', 1), ('swinging', 1), ('and', 1), ('could', 1), ('not', 1), ('be', 1), ('locked', 1), ('.', 1)]",The iron gate was swinging and could not be locked.
"[('Let', 1), (""'s"", 1), ('have', 1), ('coffee', 1), ('.', 1)]",Let's have coffee.
"[('Beyond', 1), ('the', 1), ('facade', 1), ('there', 1), ('are', 1), ('cavernous', 1), ('empty', 1), ('rooms', 1), ('.', 1)]",Beyond the facade there are cavernous empty rooms.
"[('I', 1), ('will', 1), ('never', 1), ('forget', 1), ('that', 2), ('.', 2), ('You', 1), ('can', 1), ('have', 1), ('on', 1), ('your', 1), ('own', 1), ('or', 1), ('share', 1), ('with', 1), ('a', 1), ('family', 1)]",I will never forget that. You can have that on your own or share with a family.
"[('Something', 1), ('snapped', 1), ('inside', 1), ('her', 1), ('head', 1)]",Something snapped inside her head
"[('During', 1), ('his', 1), ('disastrous', 1), ('campaign', 1), ('in', 2), ('Russia', 1), (',', 2), ('he', 1), ('found', 1), ('time', 1), ('Moscow', 1), ('to', 1), ('draw', 1), ('up', 1), ('a', 1), ('new', 1), ('statute', 1), ('for', 1), ('the', 3), ('Com??die', 1), ('-', 1), ('Francaise', 1), ('(', 1), ('national', 1), ('theater', 1), (')', 1), ('which', 1), ('had', 1), ('been', 1), ('dissolved', 1), ('during', 1), ('Revolution', 1), ('.', 1)]","During his disastrous campaign in Russia, he found time in Moscow to draw up a new statute for the Com??die-Francaise (the national theater), which had been dissolved during the Revolution."
"[('She', 1), ('wanted', 1), ('to', 1), ('make', 1), ('up', 1), ('for', 1), ('my', 1), ('disappointment', 1), ('at', 1), ('the', 1), ('turn', 1), ('of', 1), ('events', 1), ('.', 1)]",She wanted to make up for my disappointment at the turn of events.
"[('Well', 1), ('aware', 1), ('of', 2), ('the', 2), ('island', 1), (""'s"", 1), ('burgeoning', 1), ('wealth', 1), ('and', 2), ('repository', 1), ('supplies', 1), (',', 1), ('French', 1), ('pirate', 1), ('Bertrand', 1), ('de', 1), ('Montluc', 1), ('sailed', 1), ('into', 1), ('Funchal', 1), ('harbor', 1), ('with', 1), ('his', 1), ('11', 1), ('-', 1), ('galleon', 1), ('armada', 1), ('1,300', 1), ('men', 1), ('.', 1)]","Well aware of the island's burgeoning wealth and repository of supplies, the French pirate Bertrand de Montluc sailed into Funchal harbor with his 11-galleon armada and 1,300 men."
"[('but', 1), ('like', 1), ('they', 1), ('always', 1), ('say', 1), ('you', 1), ('know', 1), ('got', 1), ('a', 1), ('good', 1), ('profit', 2), ('sharing', 1), ('plan', 1), ('just', 1), ('no', 1)]",but like they always say you know got a good profit sharing plan just no profit
"[('Where', 1), ('would', 1), ('he', 1), ('be', 1), ('today', 1), ('without', 1), ('American', 1), ('commercial', 1), ('know', 1), ('-', 1), ('how', 1), ('?', 1)]",Where would he be today without American commercial know-how?
"[('13', 1), ('Executive', 1), (' ', 1), ('Effectively', 1), ('Implementing', 1), ('the', 1), ('Government', 1), ('Performance', 1), ('and', 1), ('Results', 1), ('Act', 1), ('(', 1), ('GAO', 1), ('/', 1), ('GGD-96', 1), ('-', 1), ('118', 1), (',', 1), ('June', 1), ('1996', 1), (')', 1), ('.', 1)]","13 Executive  Effectively Implementing the Government Performance and Results Act ( GAO/GGD-96-118, June 1996)."
"[('because', 1), ('the', 2), ('cold', 1), ('weather', 1), ('was', 1), ('just', 1), ('simply', 1), ('trapped', 1), ('along', 1), ('ground', 1), ('and', 1), ('could', 1), (""n't"", 1), ('get', 1), ('away', 1)]",because the cold weather was just simply trapped along the ground and couldn't get away
"[('The', 1), ('tourists', 1), ('expected', 1), ('the', 1), ('natives', 1), ('to', 1), ('be', 1), ('just', 1), ('like', 1), ('them', 1), ('.', 1)]",The tourists expected the natives to be just like them.
"[('They', 1), ('greeted', 1), ('her', 1), ('and', 1), ('she', 1), ('smiled', 1), ('shyly', 1), ('back', 1), ('.', 1)]",They greeted her and she smiled shyly back.
"[('Regulations', 1), ('were', 1), ('revised', 1), ('by', 1), ('HCFA', 1), ('pertaining', 1), ('to', 1), ('the', 1), ('costs', 1), ('of', 1), ('graduate', 1), ('programs', 2), (',', 1), ('because', 1), ('they', 1), ('neglected', 1), ('those', 1), ('.', 1)]","Regulations were revised by HCFA pertaining to the costs of graduate programs, because they neglected those programs."
"[('Be', 1), ('in', 1), ('a', 1), ('bad', 1), ('mood', 1), ('.', 1)]",Be in a bad mood.
"[('This', 1), ('has', 1), ('been', 1), ('accepted', 1), ('by', 1), ('the', 1), ('White', 1), ('House', 1), ('.', 1)]",This has been accepted by the White House.
"[('and', 2), ('my', 4), ('part', 1), ('-', 1), ('time', 1), ('work', 1), ('you', 2), ('know', 2), ('it', 1), (""'s"", 1), ('not', 1), ('our', 2), ('the', 2), ('restaurant', 2), ('favorite', 1), ('in', 1), ('town', 1), ('of', 1), ('Salisbury', 1), ('where', 3), ('actually', 1), ('we', 2), ('live', 1), ('i', 1), (""'ll"", 1), ('return', 1), ('to', 1), ('job', 1), ('or', 1), ('whatever', 1), ('can', 1), ('normally', 1), ('eat', 1), ('out', 1), ('for', 1), ('um', 1), ('under', 1), ('fourteen', 1), ('dollars', 1)]",and my and my part-time work you know it's not our the restaurant our favorite restaurant in the town of Salisbury where actually we live you know where my where i'll return to my job or whatever we can normally eat out for um under fourteen dollars
"[('oh', 1), ('yeah', 1), ('all', 2), ('mine', 1), ('are', 1), ('uh', 1), ('purebreds', 1), ('so', 1), ('i', 1), ('keep', 1), ('them', 1), ('in', 1)]",oh yeah all all mine are uh purebreds so i keep them in
"[('From', 1), ('ethnic', 1), ('food', 1), ('shops', 2), ('and', 3), ('vintage', 1), ('clothing', 1), ('stores', 1), ('to', 2), ('electronics', 1), ('book', 1), (',', 1), ('there', 1), ('are', 1), ('so', 1), ('many', 1), ('interesting', 1), ('shopping', 1), ('spots', 1), ('that', 1), ('it', 1), ('is', 1), ('hard', 1), ('imagine', 1), ('their', 1), ('breadth', 1), ('depth', 1), ('.', 1)]","From ethnic food shops and vintage clothing stores to electronics and book shops, there are so many interesting shopping spots that it is hard to imagine their breadth and depth."
"[('A', 1), ('prism', 1), ('will', 1), ('be', 1), ('necessary', 1), ('to', 1), ('discern', 1), ('what', 1), ('the', 1), ('political', 1), ('culture', 1), ('that', 1), ('produced', 1), ('Nixon', 1), ('shares', 1), ('with', 1), ('our', 1), ('own', 1), ('.', 1)]",A prism will be necessary to discern what the political culture that produced Nixon shares with our own.
"[('Research', 1), ('and', 1), ('development', 1), ('is', 1), ('composed', 1), ('of', 1)]",Research and development is composed of
